goal ,pledged ,backers ,currency ,main_category 
800,1461,61,1,7
600,5,1,1,7
4800,85,4,1,7
20000,6421,69,1,7
5000,145,1,1,7
500,0,0,1,7
17950,5495,45,1,7
75000,1,1,1,7
2700,692,10,1,7
22500,111,3,1,7
5500,5658,98,1,7
1500,175,9,1,7
20000000,1,1,1,7
30000,0,0,1,7
1000,5,1,1,7
300,427,22,1,7
400,10,1,1,7
25000,25,1,1,7
1000,158,14,1,7
700,2,1,1,7
1800,1870,31,1,7
500,8,2,1,7
450,296,14,1,7
300,335,8,1,7
7500,2171,22,1,7
12000,25,1,1,7
12000,2780,37,1,7
880,917,31,1,7
10000,66,4,1,7
75000,0,0,1,7
4000,4378,125,1,7
8000,11247,86,1,7
800,25,1,1,7
1800,590,16,1,7
5000,590,13,1,7
5000,50,2,1,7
6500,1715,28,1,7
1000,0,0,1,7
1000,2945,42,1,7
3500,3886,83,1,7
85000,10,1,1,7
40000,25,1,1,7
2000,2000,12,1,7
10000,0,0,1,7
100,250,23,1,7
7500,755,14,1,7
350,65,2,1,7
3000,3001,25,1,7
300,0,0,1,7
8299,2169,41,1,7
2000,2203,38,1,7
5000,5560,52,1,7
2000,2000,14,1,7
500,40,3,1,7
1500,1520,53,1,7
3412,0,0,1,7
8500,90,1,1,7
18000,39073,939,1,7
1000,0,0,1,7
500,1,1,1,7
1200,75,2,1,7
3500,4623,101,1,7
5000,245,10,1,7
20000,43312,593,1,7
1000,0,0,1,7
10000,52,5,1,7
11160,6981,30,1,7
500,580,22,1,7
5000,5020,91,1,7
30000,35,2,1,7
20000,0,0,1,7
1000,2539,32,1,7
15000,1280,12,1,7
500,720,15,1,7
95000,101,2,1,7
510,95,2,1,7
5000,5080,93,1,7
550,1550,38,1,7
200,2035,2,1,7
2000,6546,204,1,7
2000,155,2,1,7
4000,0,0,1,7
1500,565,14,1,7
1100,187,9,1,7
1000,101,4,1,7
3500,1682,13,1,7
5000,0,0,1,7
20000,3186,52,1,7
2200,2275,45,1,7
1000,1020,13,1,7
2575,126,5,1,7
12000,12336,60,1,7
850,1488,36,1,7
3000,360,3,1,7
2500,1143,14,1,7
859,0,0,1,7
