Juridiction,Origine,Année,Qualificatifs de données,Nombre (nul)
Terre-Neuve-et-Labrador,Activités humaines,2009,a,148
Terre-Neuve-et-Labrador,Foudre,2008,a,2
Terre-Neuve-et-Labrador,Brûlage dirigé,2008,a,1
Terre-Neuve-et-Labrador,Activités humaines,2008,a,70
Terre-Neuve-et-Labrador,Indéterminée,2007,a,1
Terre-Neuve-et-Labrador,Foudre,2007,a,6
Terre-Neuve-et-Labrador,Activités humaines,2007,a,59
Terre-Neuve-et-Labrador,Foudre,2006,a,5
Terre-Neuve-et-Labrador,Activités humaines,2006,a,61
Terre-Neuve-et-Labrador,Foudre,2005,a,6
Terre-Neuve-et-Labrador,Activités humaines,2005,a,115
Terre-Neuve-et-Labrador,Foudre,2004,a,2
Terre-Neuve-et-Labrador,Activités humaines,2004,a,123
Terre-Neuve-et-Labrador,Foudre,2003,a,15
Terre-Neuve-et-Labrador,Activités humaines,2003,a,125
Terre-Neuve-et-Labrador,Foudre,2002,a,14
Terre-Neuve-et-Labrador,Activités humaines,2002,a,86
Terre-Neuve-et-Labrador,Foudre,2001,a,16
Terre-Neuve-et-Labrador,Activités humaines,2001,a,166
Terre-Neuve-et-Labrador,Foudre,2000,a,25
Terre-Neuve-et-Labrador,Activités humaines,2000,a,124
Terre-Neuve-et-Labrador,Foudre,1999,a,23
Terre-Neuve-et-Labrador,Activités humaines,1999,a,165
Terre-Neuve-et-Labrador,Foudre,1998,a,21
Terre-Neuve-et-Labrador,Activités humaines,1998,a,159
Terre-Neuve-et-Labrador,Foudre,1997,a,10
Terre-Neuve-et-Labrador,Activités humaines,1997,a,68
Terre-Neuve-et-Labrador,Foudre,1996,a,29
Terre-Neuve-et-Labrador,Activités humaines,1996,a,82
Terre-Neuve-et-Labrador,Foudre,1995,a,2
Terre-Neuve-et-Labrador,Activités humaines,1995,a,84
Terre-Neuve-et-Labrador,Foudre,1994,a,7
Terre-Neuve-et-Labrador,Activités humaines,1994,a,122
Terre-Neuve-et-Labrador,Foudre,1993,a,12
Terre-Neuve-et-Labrador,Activités humaines,1993,a,53
Terre-Neuve-et-Labrador,Foudre,1992,a,7
Terre-Neuve-et-Labrador,Activités humaines,1992,a,99
Terre-Neuve-et-Labrador,Foudre,1991,a,23
Terre-Neuve-et-Labrador,Activités humaines,1991,a,92
Terre-Neuve-et-Labrador,Foudre,1990,a,11
Terre-Neuve-et-Labrador,Activités humaines,1990,a,154
Territoires du Nord-Ouest,Indéterminée,2021,e,140
Territoires du Nord-Ouest,Foudre,2020,a,51
Territoires du Nord-Ouest,Activités humaines,2020,a,19
Territoires du Nord-Ouest,Indéterminée,2019,a,1
Territoires du Nord-Ouest,Foudre,2019,a,126
Territoires du Nord-Ouest,Activités humaines,2019,a,20
Territoires du Nord-Ouest,Foudre,2018,a,57
Territoires du Nord-Ouest,Activités humaines,2018,a,6
Territoires du Nord-Ouest,Foudre,2017,a,249
Territoires du Nord-Ouest,Activités humaines,2017,a,19
Territoires du Nord-Ouest,Foudre,2016,a,176
Territoires du Nord-Ouest,Activités humaines,2016,a,17
Territoires du Nord-Ouest,Foudre,2015,a,241
Territoires du Nord-Ouest,Activités humaines,2015,a,16
Territoires du Nord-Ouest,Foudre,2014,a,370
Territoires du Nord-Ouest,Activités humaines,2014,a,18
Territoires du Nord-Ouest,Foudre,2013,a,241
Territoires du Nord-Ouest,Activités humaines,2013,a,16
Territoires du Nord-Ouest,Indéterminée,2012,a,7
Territoires du Nord-Ouest,Foudre,2012,a,253
Territoires du Nord-Ouest,Activités humaines,2012,a,29
Territoires du Nord-Ouest,Indéterminée,2011,a,8
Territoires du Nord-Ouest,Foudre,2011,a,168
Territoires du Nord-Ouest,Activités humaines,2011,a,25
Territoires du Nord-Ouest,Indéterminée,2010,a,4
Territoires du Nord-Ouest,Foudre,2010,a,201
Territoires du Nord-Ouest,Activités humaines,2010,a,19
Territoires du Nord-Ouest,Indéterminée,2009,a,1
Territoires du Nord-Ouest,Foudre,2009,a,44
Territoires du Nord-Ouest,Activités humaines,2009,a,15
Territoires du Nord-Ouest,Indéterminée,2008,a,5
Territoires du Nord-Ouest,Foudre,2008,a,214
Territoires du Nord-Ouest,Activités humaines,2008,a,21
Territoires du Nord-Ouest,Indéterminée,2007,a,6
Territoires du Nord-Ouest,Foudre,2007,a,141
Territoires du Nord-Ouest,Activités humaines,2007,a,37
Territoires du Nord-Ouest,Indéterminée,2006,a,4
Territoires du Nord-Ouest,Foudre,2006,a,140
Territoires du Nord-Ouest,Activités humaines,2006,a,23
Territoires du Nord-Ouest,Indéterminée,2005,a,6
Territoires du Nord-Ouest,Foudre,2005,a,239
Territoires du Nord-Ouest,Activités humaines,2005,a,16
Territoires du Nord-Ouest,Indéterminée,2004,a,10
Territoires du Nord-Ouest,Foudre,2004,a,254
Territoires du Nord-Ouest,Activités humaines,2004,a,35
Territoires du Nord-Ouest,Foudre,2003,a,148
Territoires du Nord-Ouest,Activités humaines,2003,a,12
Territoires du Nord-Ouest,Indéterminée,2002,a,3
Territoires du Nord-Ouest,Foudre,2002,a,70
Territoires du Nord-Ouest,Activités humaines,2002,a,12
Territoires du Nord-Ouest,Foudre,2001,a,107
Territoires du Nord-Ouest,Activités humaines,2001,a,21
Territoires du Nord-Ouest,Indéterminée,2000,a,3
Territoires du Nord-Ouest,Foudre,2000,a,252
Territoires du Nord-Ouest,Brûlage dirigé,2000,a,1
Territoires du Nord-Ouest,Activités humaines,2000,a,19
Territoires du Nord-Ouest,Indéterminée,1999,a,3
Territoires du Nord-Ouest,Foudre,1999,a,135
Territoires du Nord-Ouest,Brûlage dirigé,1999,a,2
Territoires du Nord-Ouest,Activités humaines,1999,a,32
Territoires du Nord-Ouest,Indéterminée,1998,a,2
Territoires du Nord-Ouest,Foudre,1998,a,373
Territoires du Nord-Ouest,Activités humaines,1998,a,24
Territoires du Nord-Ouest,Indéterminée,1997,a,1
Territoires du Nord-Ouest,Foudre,1997,a,90
Territoires du Nord-Ouest,Activités humaines,1997,a,14
Territoires du Nord-Ouest,Foudre,1996,a,330
Territoires du Nord-Ouest,Activités humaines,1996,a,20
Territoires du Nord-Ouest,Indéterminée,1995,a,4
Territoires du Nord-Ouest,Foudre,1995,a,139
Territoires du Nord-Ouest,Brûlage dirigé,1995,a,8
Territoires du Nord-Ouest,Activités humaines,1995,a,67
Territoires du Nord-Ouest,Indéterminée,1994,a,8
Territoires du Nord-Ouest,Foudre,1994,a,525
Territoires du Nord-Ouest,Brûlage dirigé,1994,a,28
Territoires du Nord-Ouest,Activités humaines,1994,a,92
Territoires du Nord-Ouest,Indéterminée,1993,a,6
Territoires du Nord-Ouest,Foudre,1993,a,398
Territoires du Nord-Ouest,Brûlage dirigé,1993,a,2
Territoires du Nord-Ouest,Activités humaines,1993,a,67
Territoires du Nord-Ouest,Indéterminée,1992,a,13
Territoires du Nord-Ouest,Foudre,1992,a,199
Territoires du Nord-Ouest,Activités humaines,1992,a,73
Territoires du Nord-Ouest,Indéterminée,1991,a,5
Territoires du Nord-Ouest,Foudre,1991,a,283
Territoires du Nord-Ouest,Activités humaines,1991,a,43
Territoires du Nord-Ouest,Indéterminée,1990,a,2
Territoires du Nord-Ouest,Foudre,1990,a,194
Territoires du Nord-Ouest,Activités humaines,1990,a,40
Yukon,Indéterminée,2021,e,112
Yukon,Foudre,2020,a,13
Yukon,Activités humaines,2020,a,11
Yukon,Foudre,2019,a,85
Yukon,Activités humaines,2019,a,33
Yukon,Foudre,2018,a,33
Yukon,Activités humaines,2018,a,18
Yukon,Foudre,2017,a,93
Yukon,Activités humaines,2017,a,22
Yukon,Foudre,2016,a,29
Yukon,Activités humaines,2016,a,24
Yukon,Foudre,2015,a,162
Yukon,Activités humaines,2015,a,24
Yukon,Foudre,2014,a,16
Yukon,Activités humaines,2014,a,18
Yukon,Foudre,2013,a,156
Yukon,Activités humaines,2013,a,21
Yukon,Foudre,2012,a,92
Yukon,Activités humaines,2012,a,35
Yukon,Foudre,2011,a,40
Yukon,Activités humaines,2011,a,16
Yukon,Foudre,2010,a,50
Yukon,Activités humaines,2010,a,39
Yukon,Foudre,2009,a,85
Yukon,Activités humaines,2009,a,33
Yukon,Foudre,2008,a,49
Yukon,Activités humaines,2008,a,27
Yukon,Foudre,2007,a,91
Yukon,Activités humaines,2007,a,20
Yukon,Foudre,2006,a,54
Yukon,Activités humaines,2006,a,26
Yukon,Foudre,2005,a,57
Yukon,Activités humaines,2005,a,26
Yukon,Foudre,2004,a,249
Yukon,Activités humaines,2004,a,33
Yukon,Foudre,2003,a,29
Yukon,Activités humaines,2003,a,48
Yukon,Foudre,2002,a,31
Yukon,Activités humaines,2002,a,39
Yukon,Foudre,2001,a,50
Yukon,Activités humaines,2001,a,18
Yukon,Indéterminée,2000,a,1
Yukon,Foudre,2000,a,23
Yukon,Activités humaines,2000,a,31
Yukon,Foudre,1999,a,119
Yukon,Activités humaines,1999,a,40
Yukon,Indéterminée,1998,a,1
Yukon,Foudre,1998,a,87
Yukon,Activités humaines,1998,a,110
Yukon,Foudre,1997,a,43
Yukon,Activités humaines,1997,a,69
Yukon,Foudre,1996,a,83
Yukon,Activités humaines,1996,a,66
Yukon,Indéterminée,1995,a,1
Yukon,Foudre,1995,a,76
Yukon,Activités humaines,1995,a,71
Yukon,Foudre,1994,a,185
Yukon,Activités humaines,1994,a,70
Yukon,Foudre,1993,a,77
Yukon,Activités humaines,1993,a,59
Yukon,Foudre,1992,a,68
Yukon,Activités humaines,1992,a,48
Yukon,Foudre,1991,a,125
Yukon,Activités humaines,1991,a,62
Yukon,Foudre,1990,a,73
Yukon,Activités humaines,1990,a,81
